stimulus,response,trait,subject
84,-1,untrustworthy,1
3,1,untrustworthy,1
67,1,untrustworthy,1
47,-1,untrustworthy,1
88,-1,untrustworthy,1
79,-1,untrustworthy,1
43,1,untrustworthy,1
28,1,untrustworthy,1
90,-1,untrustworthy,1
89,-1,untrustworthy,1
8,-1,untrustworthy,1
48,1,untrustworthy,1
17,1,untrustworthy,1
1,1,untrustworthy,1
69,1,untrustworthy,1
55,1,untrustworthy,1
64,-1,untrustworthy,1
4,-1,untrustworthy,1
16,-1,untrustworthy,1
9,1,untrustworthy,1
72,1,untrustworthy,1
78,-1,untrustworthy,1
61,-1,untrustworthy,1
83,-1,untrustworthy,1
32,-1,untrustworthy,1
54,1,untrustworthy,1
29,1,untrustworthy,1
95,1,untrustworthy,1
82,1,untrustworthy,1
46,-1,untrustworthy,1
36,1,untrustworthy,1
23,1,untrustworthy,1
40,-1,untrustworthy,1
77,1,untrustworthy,1
76,-1,untrustworthy,1
44,-1,untrustworthy,1
2,1,untrustworthy,1
20,-1,untrustworthy,1
92,1,untrustworthy,1
35,1,untrustworthy,1
96,-1,untrustworthy,1
31,-1,untrustworthy,1
80,1,untrustworthy,1
71,1,untrustworthy,1
34,-1,untrustworthy,1
91,-1,untrustworthy,1
12,-1,untrustworthy,1
42,-1,untrustworthy,1
60,-1,untrustworthy,1
50,1,untrustworthy,1
25,1,untrustworthy,1
59,-1,untrustworthy,1
52,1,untrustworthy,1
87,1,untrustworthy,1
38,1,untrustworthy,1
100,-1,untrustworthy,1
18,-1,untrustworthy,1
13,1,untrustworthy,1
15,1,untrustworthy,1
74,-1,untrustworthy,1
10,1,untrustworthy,1
37,1,untrustworthy,1
57,1,untrustworthy,1
73,1,untrustworthy,1
33,-1,untrustworthy,1
5,1,untrustworthy,1
99,1,untrustworthy,1
65,-1,untrustworthy,1
58,1,untrustworthy,1
30,1,untrustworthy,1
11,1,untrustworthy,1
27,1,untrustworthy,1
62,-1,untrustworthy,1
41,-1,untrustworthy,1
93,1,untrustworthy,1
97,-1,untrustworthy,1
75,-1,untrustworthy,1
53,1,untrustworthy,1
22,1,untrustworthy,1
7,1,untrustworthy,1
26,1,untrustworthy,1
39,1,untrustworthy,1
81,-1,untrustworthy,1
49,-1,untrustworthy,1
68,-1,untrustworthy,1
66,1,untrustworthy,1
70,1,untrustworthy,1
85,-1,untrustworthy,1
45,-1,untrustworthy,1
94,-1,untrustworthy,1
86,1,untrustworthy,1
63,1,untrustworthy,1
6,1,untrustworthy,1
98,-1,untrustworthy,1
51,-1,untrustworthy,1
56,1,untrustworthy,1
24,-1,untrustworthy,1
19,-1,untrustworthy,1
21,1,untrustworthy,1
14,1,untrustworthy,1
