# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
0,1,124,CFD-WF-251-014-N.jpg,CFD-WF-031-005-HO.jpg,CFD-WF-023-013-A.jpg,CFD-WF-007-005-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-015-027-F.jpg
1,1,49,CFD-WF-026-017-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-029-023-HC.jpg,CFD-WF-018-013-F.jpg,CFD-WF-238-023-N.jpg,CFD-WF-005-027-F.jpg
0,1,42,CFD-WF-029-002-N.jpg,CFD-WF-021-018-A.jpg,CFD-WF-015-027-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-006-006-HO.jpg,CFD-WF-003-004-HO.jpg
1,1,62,CFD-WM-001-007-HC.jpg,CFD-WF-012-007-HO.jpg,CFD-WF-019-032-HC.jpg,CFD-WF-008-002-N.jpg,CFD-WF-034-028-F.jpg,CFD-WF-026-017-HO.jpg
0,-1,137,CFD-WF-037-034-HC.jpg,CFD-WF-008-005-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-007-026-F.jpg,CFD-WF-216-079-N.jpg,CFD-WF-031-045-F.jpg
1,-1,17,CFD-WF-012-004-HC.jpg,CFD-WF-212-050-N.jpg,CFD-WF-027-003-N.jpg,CFD-WF-017-015-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-008-005-HC.jpg
1,1,11,CFD-WF-001-016-A.jpg,CFD-WF-022-017-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-011-006-HC.jpg,CFD-WF-231-099-N.jpg,CFD-WF-034-033-HO.jpg
1,1,48,CFD-WF-247-065-N.jpg,CFD-WF-012-017-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-011-006-HC.jpg,CFD-WF-024-010-HC.jpg,CFD-WF-029-023-HC.jpg
1,1,53,CFD-WM-001-007-HC.jpg,CFD-WF-232-161-N.jpg,CFD-WF-003-003-N.jpg,CFD-WF-014-009-HC.jpg,CFD-WF-020-012-A.jpg,CFD-WF-031-005-HO.jpg
1,1,116,CFD-WF-028-024-HO.jpg,CFD-WF-023-026-F.jpg,CFD-WF-014-002-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-031-045-F.jpg,CFD-WF-030-003-HO.jpg
1,1,86,CFD-WF-026-008-A.jpg,CFD-WF-003-025-F.jpg,CFD-WF-011-006-HC.jpg,CFD-WF-010-004-N.jpg,CFD-WF-021-013-F.jpg,CFD-WM-001-007-HC.jpg
0,1,73,CFD-WF-019-024-F.jpg,CFD-WF-007-003-HO.jpg,CFD-WF-010-014-A.jpg,CFD-WF-001-003-N.jpg,CFD-WF-233-112-N.jpg,CFD-WM-001-007-HC.jpg
1,1,22,CFD-WF-225-101-N.jpg,CFD-WF-007-005-HC.jpg,CFD-WF-011-011-A.jpg,CFD-WF-018-018-HO.jpg,CFD-WF-007-001-N.jpg,CFD-WM-001-007-HC.jpg
0,1,54,CFD-WM-001-007-HC.jpg,CFD-WF-210-086-N.jpg,CFD-WF-209-052-N.jpg,CFD-WF-038-023-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WF-229-004-N.jpg
1,1,18,CFD-WF-035-033-A.jpg,CFD-WF-018-012-A.jpg,CFD-WF-013-019-F.jpg,CFD-WF-015-023-HC.jpg,CFD-WF-023-020-HO.jpg,CFD-WM-001-007-HC.jpg
1,-1,95,CFD-WF-015-006-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-033-041-HC.jpg,CFD-WF-014-002-N.jpg,CFD-WF-027-014-A.jpg,CFD-WF-030-002-N.jpg
0,-1,119,CFD-WF-025-015-A.jpg,CFD-WF-241-210-N.jpg,CFD-WF-007-003-HO.jpg,CFD-WF-039-044-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-028-025-HC.jpg
0,-1,77,CFD-WF-037-034-HC.jpg,CFD-WF-006-002-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-023-026-F.jpg,CFD-WF-024-029-A.jpg,CFD-WF-029-002-N.jpg
1,1,61,CFD-WF-034-006-N.jpg,CFD-WF-007-001-N.jpg,CFD-WF-030-033-A.jpg,CFD-WF-006-002-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-002-025-F.jpg
0,-1,143,CFD-WF-013-019-F.jpg,CFD-WF-020-007-HC.jpg,CFD-WF-015-014-A.jpg,CFD-WF-009-010-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-227-002-N.jpg
1,1,79,CFD-WF-006-003-HC.jpg,CFD-WF-025-019-N.jpg,CFD-WF-030-002-N.jpg,CFD-WF-219-038-N.jpg,CFD-WF-036-015-A.jpg,CFD-WM-001-007-HC.jpg
0,1,36,CFD-WF-009-010-A.jpg,CFD-WF-227-002-N.jpg,CFD-WF-016-017-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-005-016-HC.jpg,CFD-WF-003-025-F.jpg
1,-1,101,CFD-WM-001-007-HC.jpg,CFD-WF-010-004-N.jpg,CFD-WF-250-167-N.jpg,CFD-WF-010-006-HO.jpg,CFD-WF-024-006-HO.jpg,CFD-WF-244-163-N.jpg
0,-1,112,CFD-WF-019-035-HO.jpg,CFD-WF-006-019-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-006-006-HO.jpg,CFD-WF-009-004-HO.jpg,CFD-WF-033-041-HC.jpg
0,-1,25,CFD-WF-002-033-A.jpg,CFD-WF-008-016-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-227-002-N.jpg,CFD-WF-033-002-N.jpg,CFD-WF-018-013-F.jpg
0,1,140,CFD-WF-020-027-F.jpg,CFD-WF-029-002-N.jpg,CFD-WF-232-161-N.jpg,CFD-WF-022-007-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-031-005-HO.jpg
0,-1,72,CFD-WF-013-019-F.jpg,CFD-WF-007-001-N.jpg,CFD-WF-010-008-HC.jpg,CFD-WF-001-016-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-233-112-N.jpg
0,-1,75,CFD-WF-029-026-A.jpg,CFD-WF-240-083-N.jpg,CFD-WF-006-003-HC.jpg,CFD-WF-012-017-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-009-004-HO.jpg
1,1,56,CFD-WF-012-017-F.jpg,CFD-WF-039-005-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-002-008-HC.jpg,CFD-WF-018-012-A.jpg,CFD-WF-037-024-F.jpg
0,-1,51,CFD-WM-001-007-HC.jpg,CFD-WF-031-015-A.jpg,CFD-WF-235-121-N.jpg,CFD-WF-025-015-A.jpg,CFD-WF-030-003-HO.jpg,CFD-WF-015-023-HC.jpg
1,-1,24,CFD-WF-038-023-HO.jpg,CFD-WF-021-016-HO.jpg,CFD-WF-245-084-N.jpg,CFD-WF-024-031-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-013-015-A.jpg
0,1,142,CFD-WF-008-003-HO.jpg,CFD-WF-210-086-N.jpg,CFD-WF-034-006-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-250-167-N.jpg,CFD-WF-037-034-HC.jpg
1,-1,90,CFD-WF-009-015-F.jpg,CFD-WF-010-004-N.jpg,CFD-WF-244-163-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-013-015-A.jpg,CFD-WF-001-009-HO.jpg
0,1,123,CFD-WF-027-014-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-024-010-HC.jpg,CFD-WF-014-004-HO.jpg,CFD-WF-036-023-N.jpg,CFD-WF-013-003-N.jpg
1,1,38,CFD-WF-013-019-F.jpg,CFD-WF-034-016-A.jpg,CFD-WF-017-023-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-025-006-HO.jpg,CFD-WF-022-007-HC.jpg
