Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
0,-1,138,CFD-WF-001-003-N.jpg,CFD-WM-016-001-N.jpg,CFD-WM-206-045-N.jpg,CFD-WM-032-001-N.jpg,CFD-WM-001-011-HO.jpg,CFD-WM-003-002-N.jpg
1,-1,40,CFD-WF-001-003-N.jpg,CFD-WM-014-013-A.jpg,CFD-WM-029-020-F.jpg,CFD-WM-025-002-N.jpg,CFD-WM-020-003-HO.jpg,CFD-WM-220-068-N.jpg
1,-1,18,CFD-WM-243-107-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-011-019-F.jpg,CFD-WM-221-091-N.jpg,CFD-WM-031-032-F.jpg,CFD-WM-023-004-HO.jpg
1,-1,72,CFD-WM-039-018-N.jpg,CFD-WM-210-057-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-040-033-F.jpg,CFD-WM-033-025-N.jpg,CFD-WM-216-061-N.jpg
0,1,83,CFD-WM-022-005-HO.jpg,CFD-WM-017-005-HO.jpg,CFD-WM-037-025-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-206-045-N.jpg,CFD-WM-253-119-N.jpg
0,1,57,CFD-WM-031-004-HO.jpg,CFD-WM-015-002-N.jpg,CFD-WM-018-007-A.jpg,CFD-WM-029-023-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-237-052-N.jpg
0,-1,73,CFD-WF-001-003-N.jpg,CFD-WM-017-005-HO.jpg,CFD-WM-041-023-HC.jpg,CFD-WM-026-004-HC.jpg,CFD-WM-026-006-HO.jpg,CFD-WM-006-039-F.jpg
0,-1,135,CFD-WM-258-125-N.jpg,CFD-WM-002-008-HC.jpg,CFD-WM-022-008-A.jpg,CFD-WM-033-006-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-249-239-N.jpg
1,-1,118,CFD-WM-031-045-A.jpg,CFD-WM-002-009-N.jpg,CFD-WM-004-005-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-018-002-N.jpg,CFD-WM-020-005-HC.jpg
0,1,88,CFD-WM-004-010-N.jpg,CFD-WM-024-003-HO.jpg,CFD-WM-244-003-N.jpg,CFD-WM-211-054-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-235-147-N.jpg
